! new fit to shms_replay_matrixopt_10776_10780_-1_fit_tree
 ---------------------------------------------
  -0.000904000507     0.001455414 -3.94701146e-05               0 00000
      0.280026954   -0.0483848405     0.029652061     0.667153399 10000
      -1.42828908    0.0982966392   -0.0339009751    -0.265706749 01000
    0.00113741291    -0.757967593     0.317941373  -0.00128007291 00100
    -0.0359596593      1.42737748     -2.01644965   -0.0894340584 00010
      -0.67171824    0.0251951968   -0.0659168218     -1.95819072 20000
       4.02558559     -0.19366339     0.364473661      14.5254699 11000
      -3.25960961     -1.50347997     0.035515048     -14.7683128 02000
     -0.158813196       3.5563543    -0.749322556     -0.67421213 10100
      0.606971375    -0.715024837     0.344967856       1.6860641 01100
   -0.00765258101    -0.489578028     0.170985022     -1.06471281 00200
     0.0753380547      -40.538261      8.01751775     -0.38616236 10010
       0.81744711      18.0427299     -4.03493669      2.63422556 01010
      0.381959677      4.02483647     -1.58156569      1.82692667 00110
      -2.36585776     -5.39271682      1.62030389      2.16863555 00020
       4.53678836    -0.603180821     0.440371764      6.95241266 30000
      -39.9240817    -0.850270554     -2.29068026     -71.1762972 21000
       103.987354      19.1920397      1.82660348      218.345425 12000
      -71.4925477     -39.0136808      5.37063819     -149.452012 03000
       4.42839915     -22.6013843      3.13973232    -0.131920908 20100
      -25.9805583      155.474648     -22.9278884      31.2372059 11100
       31.4532611     -224.904004       29.591219     -101.143387 02100
       2.32935318     0.272813223    -0.756953408      10.8913494 10200
       -9.7261362      3.78430425      1.21875559    -0.267031569 01200
      0.271101051      8.01177379      -3.4590523    -0.170683087 00300
      -23.5404415      223.319979     -34.5255612     -16.8303129 20010
       133.134374     -1540.15333      249.136117     -67.3108236 11010
      -169.943124      2375.02716     -373.871524      322.020556 02010
      -25.6016673     -6.98563881       12.458113     -182.352086 10110
       103.692998     -115.867803      11.8509442      240.872342 01110
      -2.93112909     -34.6145895       23.117815     -5.74748554 00210
       108.664676      37.9825385      -40.154545      460.460434 10020
      -493.469935      363.487153     -59.1794519      -1535.5001 01020
       6.32700568     -213.283669     -32.6437904      3.60570705 00120
       8.30627354      1301.54437     -40.5936136      60.5709952 00030
       -15.458631      1.10162632     -2.50707336     -14.2826759 40000
       166.390962      23.1972804      16.1995771      186.845598 31000
      -492.276565     -213.322054     -19.0558194     -800.174844 22000
        105.44422      495.715212     -46.0951551      1214.13639 13000
       734.390668     -169.708049      76.0983121     -234.780373 04000
       -23.172329      54.5018118     -9.57363801      15.1818966 30100
       213.894227      -446.85216      72.3205096     -283.774899 21100
      -481.870426      635.916761      -93.042397      1247.01195 12100
       109.456061      909.256114     -106.475399     -1071.09369 03100
      -16.5785072      12.5595988     -5.61073682     -28.4648732 20200
       130.990469     -124.331502      44.3281404      76.3825835 11200
       -186.83901      223.352716     -62.9467497     -33.7632646 02200
      -3.06255758     -20.9645456      15.2942782      19.6121472 10300
       15.7928458     -215.549854       67.936991      -68.174109 01300
      -4.36296295      43.5915124     -15.2601246     -12.3156414 00400
       118.499544     -533.803132       67.139945      116.743681 30010
      -933.361135      4926.55176     -630.805223     -377.730634 21010
       1428.00433     -9118.47816      1050.03167      450.226463 12010
       467.893835       -4624.957      809.260632     -4506.44417 03010
        91.513195      20.1310433     -9.57192894      383.575703 20110
      -857.257024      1053.93694     -184.148305      402.183396 11110
       1158.08738     -2596.22377      414.635524      559.259523 02110
      -8.23041585      595.133308      -318.33822     -250.265865 10210
      -72.4672223      1499.44896      -332.38592      1218.11896 01210
       38.6188117     -511.175781       162.98163      129.262735 00310
       143.336526     -1030.73071       406.02255     -2128.65479 20020
      -292.634406      2300.02598      -520.82414     -3113.60264 11020
       182.179993      107.185625     -195.238095     -639.860161 02020
       323.877666     -1924.00369      1124.64835      584.175154 10120
      -355.822614     -2847.64644      233.002276     -3393.68669 01120
      -135.176354      2481.81873     -655.777667     -560.255043 00220
      -1067.43002      4012.06738     -1051.82394     -383.167868 10030
      -260.763913     -107.446014      -208.74473     -500.540224 01030
       212.488553     -4035.08258      1177.38507      708.682182 00130
       14.0301588     -1575.46775       445.30959      249.999843 00040
      -12.3662077      54.5258765     -7.18611181      -7.2356411 50000
